0.003994,0.005682,0.004900,0.005484,0.003736,0.005365,0.006721,0.005421,0.006005,0.004460,0.004989,0.005188,0.005831,0.006384,0.005404,0.004931,0.004979,0.005210,0.005695,0.005043,0.004979,0.004083,0.003744,0.004317,0.004609,0.005010,0.005118,0.004245
0.006240,0.008877,0.007088,0.007968,0.007061,0.010064,0.008090,0.006944,0.007479,0.006078,0.007096,0.008273,0.008329,0.007576,0.006609,0.005165,0.005791,0.006682,0.005695,0.005374,0.005084,0.004429,0.005300,0.005637,0.005783,0.004632,0.007067,0.005356
0.004849,0.008259,0.007173,0.007689,0.005812,0.006630,0.007914,0.005405,0.007086,0.005872,0.006990,0.006453,0.007516,0.006560,0.007925,0.006490,0.006148,0.005437,0.004615,0.005725,0.004136,0.003565,0.003561,0.004379,0.005459,0.004348,0.005799,0.004285
0.005489,0.006249,0.006718,0.006322,0.006684,0.006612,0.005959,0.004637,0.005562,0.005382,0.005655,0.006741,0.006165,0.006513,0.007283,0.007203,0.006707,0.006089,0.004543,0.003470,0.002677,0.002062,0.002662,0.003930,0.004971,0.004972,0.005549,0.003925
0.005432,0.006979,0.007479,0.006204,0.005696,0.004889,0.003836,0.001928,0.003292,0.006183,0.006162,0.006434,0.006619,0.007442,0.007116,0.007548,0.006529,0.005124,0.003568,0.001845,0.001355,0.000852,0.001439,0.002373,0.003020,0.005076,0.005535,0.005522
0.004458,0.006235,0.007111,0.006555,0.006038,0.003869,0.002264,0.001289,0.002502,0.005354,0.005506,0.006382,0.006807,0.006325,0.007426,0.007352,0.005933,0.004575,0.003017,0.001862,0.001146,0.000520,0.000768,0.001497,0.002699,0.005092,0.006731,0.004684
0.004258,0.006215,0.005652,0.007750,0.006553,0.006113,0.003449,0.002406,0.004012,0.005700,0.006655,0.007275,0.006804,0.007350,0.007469,0.007336,0.006580,0.004646,0.003959,0.002359,0.001288,0.000909,0.001290,0.002290,0.003281,0.004543,0.006232,0.004882
0.005860,0.007227,0.006434,0.006562,0.007105,0.006249,0.005962,0.004579,0.005024,0.006309,0.007130,0.007013,0.007414,0.007653,0.007859,0.006090,0.007220,0.005303,0.004679,0.003133,0.002147,0.001870,0.002089,0.003688,0.004242,0.005451,0.006071,0.004091
0.005101,0.007693,0.007528,0.007871,0.006678,0.006848,0.006307,0.005999,0.006042,0.006014,0.007856,0.007542,0.006944,0.007443,0.007671,0.005900,0.005859,0.005566,0.005518,0.004467,0.003997,0.003484,0.003267,0.004410,0.005843,0.005924,0.007000,0.004732
0.006416,0.006442,0.006379,0.007860,0.007643,0.006308,0.006471,0.007077,0.007432,0.007210,0.007884,0.006774,0.007119,0.006515,0.007837,0.007257,0.006343,0.005507,0.005882,0.005183,0.005114,0.003579,0.003600,0.004323,0.006086,0.006254,0.006489,0.004599
